time unit: s, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data, uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[11], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[10], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[9], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[8], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[7], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[6], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[5], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[4], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[3], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[2], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[1], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|nfca_rx_dsp:u_nfca_rx_dsp|adc_data[0], uart2nfca_system_top:u_uart2nfca_system|nfca_controller:u_nfca_controller|rx_on, 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, 
74, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
75, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
76, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
77, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
78, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
79, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
80, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
81, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
82, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
83, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
84, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
85, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
86, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
87, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
88, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
89, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
90, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
91, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
92, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
93, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
94, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
95, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
96, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
97, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
98, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
99, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
100, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
101, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
102, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
103, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
104, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
105, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
106, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
107, 110001001111, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
108, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
109, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
110, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
111, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
112, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
113, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
114, 100100101001, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
115, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
116, 110001001111, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
117, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
118, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
119, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
120, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
121, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
122, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
123, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
124, 101001011110, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
125, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
126, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
127, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
128, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
129, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
130, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
131, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
132, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
133, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
134, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
135, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
136, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
137, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
138, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
139, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
140, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
141, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
142, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
143, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
144, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
145, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
146, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
147, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
148, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
149, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
150, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
151, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
152, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
153, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
154, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
155, 110001001111, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
156, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
157, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
158, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
159, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
160, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
161, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
162, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
163, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
164, 110001001101, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
165, 100100011011, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
166, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
167, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
168, 100100101000, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
169, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
170, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
171, 100100100011, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
172, 101001100010, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
173, 110001001111, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
174, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
175, 101001100110, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
176, 110001001100, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
177, 100100011111, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
